Category,Message
0,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
0,entered cabin pa said happy b day boss felt special askd 4 lunch lunch invited apartment went
1,winner u specially selected 2 receive 1000 4 holiday flights inc speak live operator 2 claim 0871277810910p min 18
0,goodo yes must speak friday egg potato ratio tortilla needed
0,hmm uncle informed paying school directly pls buy food
1,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
1,urgent mobile awarded 2000 bonus caller prize 5 9 03 final try contact u call landline 09064019788 box42wr29c 150ppm
0,new address apples pairs malarky
1,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
0,going sao mu today done 12
0,ü predict wat time ü finish buying
0,good stuff
0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
0,room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,k k much cost
0,home
0,dear call tmorrow pls accomodate
0,first answer question
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 1 50 sp tyrone
1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31p msg 150p
0,haf msn yijue hotmail com
0,call meet
0,check rooms befor activities
1,rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try
0,got c lazy type forgot ü lect saw pouch like v nice
0,k text way
0,sir waiting mail
0,swt thought nver get tired little things 4 lovable persons coz somtimes little things occupy biggest part hearts gud ni8
0,know pls open back
0,yes see ya dot
0,whats staff name taking class us
1,freemsg replied text randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
0,ummma call check life begin qatar pls pray hard
0,k deleted contact
0,sindu got job birla soft
0,wine flowing nevering
0,yup thk cine better cos need 2 go 2 plaza mah
0,ok ur typical reply
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one
0,aaooooright work
0,leaving house
0,hello love get interview today happy good boy think missing
1,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery
1,winner u specially selected 2 receive 1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810
0,keep safe need miss already envy everyone see real life
0,new car house parents new job hand
0,love excited day spend make happy
1,pls stop bootydelious 32 f inviting friend reply yes 434 434 see www sms ac u bootydelious stop send stop frnd 62468
1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internet service menu
0,place ur points e cultures module already
1,urgent trying contact last weekends draw shows 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
0,hi frnd best way avoid missunderstding wit beloved one
0,great escape fancy bridge needs lager see tomo
0,yes completely form clark also utter waste
0,sir need axis bank account bank address
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
0,time coming later
0,bloody hell cant believe forgot surname mr ill give u clue spanish begins
0,well gonna finish bath good fine night
0,let know got money carlos make call
0,u still going mall
0,turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth
0,text doesnt reply let know log
0,hi spoke maneesha v like know satisfied experience reply toll free yes
0,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
0,lol u trust
0,ok gentleman treat dignity respect
0,guys close
0,going nothing great bye
0,hello handsome finding job lazy working towards getting back net mummy boytoy miss
0,haha awesome minute
1,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize
0,got xmas radio times get
0,jus reached home go bathe first sis using net tell u finishes k
1,unique enough find 30th august www areyouunique co uk
0,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
0,hi finally completed course
0,stop however suggest stays someone able give ors every stool
0,hope settled new school year wishin gr8 day
0,gud mrng dear hav nice day
0,u got persons story
0,hamster dead hey tmr meet 1pm orchard mrt
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
0,found enc lt gt
0,sent lt gt bucks
0,hello darlin ive finished college txt u finish u love kate xxx
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
0,goodmorning sleeping ga
0,u call alter 11 ok
0,ü say like dat dun buy ericsson oso cannot oredi lar
0,entered cabin pa said happy b day boss felt special askd 4 lunch lunch invited apartment went
0,aight yo dats straight dogg
0,please give us connection today lt decimal gt refund bill
0,shoot big loads get ready
0,bruv hope great break rewarding semester
0,home always chat
0,k k good study well
0,yup ü noe leh
0,sounds great home
0,finally match heading towards draw prediction
0,tired slept well past nights
0,easy ah sen got selected means good
0,take exam march 3
0,yeah think use gt atm register sure anyway help let know sure ready
0,ok prob take ur time
0,os called ubandu run without installing hard disk use os copy important files system give repair shop
0,sorry call later
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,500 new mobiles 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18
0,would really appreciate call need someone talk
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries
0,hey company elama po mudyadhu
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
0,dear good morning
0,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,dear going rubber place
0,sorry battery died yeah
0,yes tv always available work place
1,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recd thirtyeight pence
0,printed oh lt gt come upstairs
0,ill little closer like bus stop street
0,wil reach
0,new theory argument wins situation loses person dont argue ur friends kick amp say always correct
1,u 447801259231 secret admirer looking 2 make contact u find r reveal thinks ur special call 09058094597
0,tomarrow final hearing laptop case cant
0,pleassssssseeeeee tel v avent done sportsx
0,okay shining meant signing sounds better
0,although told u dat baig face watches really like e watch u gave cos fr u thanx 4 everything dat u done today touched
0,u remember old commercial
0,late said website dont slippers
0,asked call ok
0,kallis wont bat 2nd innings
0,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16
0,ranjith cal drpd deeraj deepak 5min hold
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
0,
0,ups 3days also shipping company takes 2wks way usps takes week gets lag may bribe nipost get stuff
0,back lemme know ready
0,necessarily expect done get back though headin
0,mmm yummy babe nice jolt suzy
0,lover need
1,tried contact reply offer video handset 750 anytime networks mins unlimited text camcorder reply call 08000930705
0,parked next mini coming today think
0,yup
0,anyway going shopping cos sis done yet dun disturb u liao
0,luton 0125698789 ring ur around h
1,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698
0,dint come us
0,wana plan trip sometme
0,sure yet still trying get hold
1,ur ringtone service changed 25 free credits go club4mobiles com choose content stop txt club stop 87070 150p wk club4 po box1146 mk45 2wt
0,evo download flash jealous
1,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge
0,come mu sorting narcotics situation
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay
1,hmv bonus special 500 pounds genuine hmv vouchers answer 4 easy questions play send hmv 86688 info www 100percent real com
0,usf guess might well take 1 car
0,objection bf coming
0,thanx
0,tell rob mack gf theater
0,awesome see bit
0,sent type food like
0,done handed celebrations full swing yet
0,got called tool
0,wen u miss someone person definitely special u person special miss keep touch gdeve
0,ok asked money far
0,okie
0,yeah think usual guy still passed last night get ahold anybody let know throw
0,k might come tonight class lets early
0,ok
0,hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx
0,life means lot love life love people life world calls friends call world ge
0,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense
0,hey told name gautham ah
0,haf u found feel stupid da v cam working
0,oops 4 got bit
0,much buzy
0,accidentally deleted message resend please
1,mobile customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 3680 offer ends 28thfeb c apply
0,unless situation go gurl would appropriate
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pls send message
0,need coffee run tomo believe time week already
0,awesome remember last time got somebody high first time diesel v
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
0,oh way food fridge want go meal tonight
0,womdarfull actor
1,sms ac blind date 4u rodds1 21 aberdeen united kingdom check http img sms ac w icmb3cktz8r7 4 blind dates send hide
0,yup remb think book
0,jos ask u wana meet
0,lol yes friendship hanging thread cause u buy stuff
1,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap 82468
0,garage keys bookshelf
0,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
1,think ur smart win 200 week weekly quiz text play 85222 cs winnersclub po box 84 m26 3uz 16 gbp1 50 week
0,says give call friend got money definitely buying end week
0,hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost
0,made day great day
0,k k advance happy pongal
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,really dude friends afraid
1,december mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906
0,coffee cake guess
0,merry christmas babe love ya kisses
0,hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full im still waitin 4 1 pete x
0,would great guild could meet bristol road somewhere get touch weekend plans take flight good week
0,problem
0,calls messages missed calls
0,hi da todays class
0,say good sign well know track record reading women
0,cool text parked
0,reading text sent meant joke read light
0,k k apo k good movie
0,maybe could get book tomo return immediately something
1,call germany 1 pence per minute call fixed line via access number 0844 861 85 85 prepayment direct access
0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
1,valentines day special win 1000 quiz take partner trip lifetime send go 83600 150p msg rcvd custcare 08718720201
0,ta daaaaa home babe still
0,cool come havent wined dined
0,sleeping surfing
0,sorry call later
0,u calling right call hand phone
0,ok great thanx lot
0,take post come must 1000s texts happy reading one wiv hello caroline end favourite bless
0,u hiding stranger
0,interested like
0,sister cleared two round birla soft yesterday
0,gudnite tc practice going
0,dis yijue jus saw ur mail case huiming havent sent u num dis num
0,one small prestige problem
1,fancy shag interested sextextuk com txt xxuk suzy 69876 txts cost 1 50 per msg tncs website x
0,checking really miss seeing jeremiah great month
0,nah help never iphone
0,car hour half going apeshit
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
0,yo guys ever figure much need alcohol jay trying figure much safely spend weed
0,lt gt ish minutes 5 minutes ago wtf
0,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16
1,ur cash balance currently 500 pounds maximize ur cash send cash 86688 150p msg cc 08708800282 hg suite342 2lands row w1j6hl
0,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
0,hello got st andrews boy long way cold keep posted
0,ha ha cool cool chikku chikku db
0,oh ok prob
0,check audrey status right
0,busy trying finish new year looking forward finally meeting
0,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always
0,well know z take care worries
1,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt orange call mobileupd8 08000839402 call2optout f4q
1,discount code rp176781 stop messages reply stop www regalportfolio co uk customer services 08717205546
0,wat uniform get
0,cool text ready
0,hello boytoy geeee miss already woke wish bed cuddling love
0,spoil bed well
0,going bath msg next lt gt min
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay
1,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer services 09057039994
0,say happen
0,could seen recognise face
0,well lot things happening lindsay new years sighs bars ptbo blue heron something going
0,keep payasam rinu brings
0,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake
0,guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin
0,yeah sure give couple minutes track wallet
0,hey leave big deal take care
0,hey late ah meet 945
1,double mins txts 4 6months free bluetooth orange available sony nokia motorola phones call mobileupd8 08000839402 call2optout n9dx
0,took mr owl 3 licks
0,customer place call
0,mm time dont like fun
1,4mths half price orange line rental latest camera phones 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt
0,yup lunch buffet u eat already
0,huh late fr dinner
0,hey sat going intro pilates kickboxing
0,morning ok
0,yes think office lap room think thats last days didnt shut
0,pick bout 7 30ish time going
0,performance award calculated every two month current one month period
0,actually sleeping still might u call back text gr8 rock sis send u text wen wake
0,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated
0,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india
0,hmmm k want change field quickly da wanna get system administrator network administrator
1,free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tones 3x 150pw e nd txt stop
0,dear chechi talk
0,hair cream shipped
0,none happening til get though
0,yep great loxahatchee xmas tree burning lt gt starts hour
0,haha get used driving usf man know lot stoners
0,well slightly disastrous class pm fav darlings hope day ok coffee wld good stay late tomorrow time place always
0,hello good week fancy drink something later
0,headin towards busetop
0,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
0,come room point iron plan weekend
0,cos want thing
0,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,bring home wendy
1,100 dating service cal l 09064012103 box334sk38ch
0,whatsup dont u want sleep
0,alright new goal
1,free entry 250 weekly competition text word win 80086 18 c www txttowin co uk
0,alright head minutes text meet
1,send logo 2 ur lover 2 names joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ads 150p
0,yes last week taking live call
1,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p
0,siva hostel aha
1,urgent mobile number awarded 2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs
0,send ur friends receive something ur voice speaking expression 1 childish 2 naughty 3 sentiment 4 rowdy 5 ful attitude 6 romantic 7 shy 8 attractive 9 funny lt gt irritating lt gt lovable reply
0,ok ok guess
0,aathi dear
0,pain urination thing else
0,7 esplanade ü mind giving lift cos got car today
0,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob
0,home watching tv lor
0,usually take fifteen fucking minutes respond yes question
1,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16 close 300603 post bcm4284 ldn wc1n3xx
0,booked ticket pongal
0,available like right around hillsborough amp lt gt th
0,message sent askin lt gt dollars shoul pay lt gt lt gt
0,ask g iouri told story like ten times already
0,long applebees fucking take
0,hi hope u get txt journey hasnt gd 50 mins late think
0,like love arrange
0,yes really great bhaji told kallis best cricketer sachin world tough get
0,supposed wake gt
0,oic saw tot din c found group liao
0,sorry call later
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx
0,sorry battery died come getting gram place
0,well done blimey exercise yeah kinda remember wot hmm
0,wont get concentration dear know mind everything
0,lol made plans new years
0,10 min later k
0,hanks lotsly
0,thanks hope good day today
0,k k detail want transfer acc enough
0,ok tell stay yeah tough optimistic things improve month
1,loan purpose 500 75 000 homeowners tenants welcome previously refused still help call free 0800 1956669 text back help
0,si si think ill go make oreo truffles
0,look amy ure beautiful intelligent woman like u lot know u like like worry
0,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl
0,1 20 call cost guess isnt bad miss ya need ya want ya love ya
0,going thru different feeling wavering decisions coping individual time heal everything believe
0,u go phone gonna die stay
0,great never better day gives even reasons thank god
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer ends 26th july c apply opt available
0,sorry call later ok bye
0,ok way railway
0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night
0,put stuff roads keep getting slippery
0,going ride bike
0,yup need jus wait 4 e rain 2 stop
0,many company tell language
1,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award call 09061743806 landline tcs sae box326 cw25wx 150ppm
0,long since screamed princess
0,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust 9ja person sending account details cos
1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network txting moan 69888nyt ec2a 31p msg 150p
0,nice line said broken heart plz cum 1 times infront wise trust u good 9t
0,ok gonna head usf like fifteen minutes
0,love aathi love u lot
0,tension ah machi problem
0,k pick another 8th done
0,guys getting back g said thinking staying mcr
0,almost see u sec
0,yo carlos friends already asking working weekend
0,watching tv lor
0,thank baby cant wait taste real thing
0,change fb jaykwon thuglyfe falconerf
0,win really 1 side long time
1,free message activate 500 free text messages replying message word free terms conditions visit www 07781482378 com
0,dear reached railway happen
0,depends quality want type sent boye faded glory 6 want ralphs maybe 2
0,think fixed send test message
0,sorry man account dry would want could trade back half could buy shit credit card
1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss
0,sorry meeting call later
0,class lt gt reunion
0,free call
0,got meh
0,nope think go monday sorry replied late
0,told accenture confirm true
0,kate jackson rec center 7ish right
0,dear reache room
0,fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose
0,ü come
0,check nuerologist
0,lolnice went fish water
1,error
0,waiting e car dat bored wat cos wait outside got nothing 2 home stuff watch tv wat
0,maybe westshore hyde park village place near house
0,know anthony bringing money school fees pay rent stuff like thats need help friend need
0,significance
0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply
0,8 latest g still scrounge ammo want give new ak try
0,prabha soryda realy frm heart sory
0,lol ok forgiven
0,jst change tat
1,guaranteed latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 ibhltd ldnw15h 150p mtmsgrcvd18
0,competition
1,boltblue tones 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tones txt
1,credits topped http www bubbletext com renewal pin tgxxrz
0,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri
0,usually person unconscious children adults may behave abnormally call
0,ebay might less elsewhere
0,shall come get pickle
0,gonna go get tacos
0,rude campus
1,urgent mobile awarded 2 000 bonus caller prize 02 09 03 2nd attempt contact call 0871 872 9755 box95qu
0,hi b ard 4 christmas enjoy n merry x mas
1,today offer claim ur 150 worth discount vouchers text yes 85023 savamob member offers mobile cs 08717898035 3 00 sub 16 unsub reply x
0,yes pretty lady like single
1,recieve tone within next 24hrs terms conditions please see channel u teletext pg 750
0,jay says double faggot
1,private 2003 account statement 07815296484 shows 800 un redeemed points call 08718738001 identifier code 41782 expires 18 11 04
0,today sunday sunday holiday work
0,gudnite tc practice going
0,late
0,called hoping l8r malaria know miss guys miss bani big pls give love especially great day
0,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea
0,probably gonna see later tonight lt
0,maybe fat fingers press buttons know
0,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
0,tirupur da started office call
1,www applausestore com monthlysubscription 50p msg max6 month csc web age16 2stop txt stop
0,famous quote develop ability listen anything unconditionally without losing temper self confidence means married
0,going college pa else ill come self pa
0,4 oclock mine bash flat plan
0,girl stay bed girl need recovery time id rather pass fun cooped bed
0,special
0,know need get hotel got invitation apologise cali sweet come english bloke weddin
0,sorry took long omw
0,wait lt gt min
0,ok give 5 minutes think see btw alibi cutting hair whole time
0,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
0,hurry weed deficient like three days
0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
0,ok every night take warm bath drink cup milk see work magic still need loose weight know
0,look frying pan case cheap book perhaps silly frying pan likely book
0,well uv causes mutations sunscreen like essential thesedays
0,lunch online
0,know friend already told
0,hi princess thank pics pretty
0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee
0,hi msg office
0,thanx 4 e brownie v nice
0,geeeee love much barely stand
1,gent trying contact last weekends draw shows 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
0,fuck babe miss already know let send money towards net need want crave
0,ill call u 2mrw ninish address icky american freek wont stop callin 2 bad jen k eh
0,oooh bed ridden ey thinking
0,anyways go gym whatever love smiles hope ok good day babe miss much already
0,love daddy make scream pleasure going slap ass dick
0,wot u wanna missy
0,yar lor wait 4 mum 2 finish sch lunch lor whole morning stay home clean room room quite clean hee
0,know lab goggles went
0,open door
0,waiting call
0,nope waiting sch 4 daddy
1,1 000 cash 2 000 prize claim call09050000327
0,tired arguing week week want
0,ü wait 4 sch finish ard 5
1,mobile number 5000 claim calls us back ring claims hot line 09050005321
0,arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite
0,huh early ü dinner outside izzit
0,ok anyway need change said
1,tried contact reply offer 750 mins 150 textand new video phone call 08002988890 reply free delivery tomorrow
0,ex wife able kids want kids one day
0,scotland hope showing jjc tendencies take care live dream
0,tell u headache want use 1 hour sick time
0,dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den
0,pete please ring meive hardly gotany credit
0,ya srsly better yi tho
0,meeting call later
1,ur chance win 250 wkly shopping spree txt shop 80878 c www txt 2 shop com custcare 08715705022 1x150p wk
1,specially selected receive 2000 pound award call 08712402050 lines close cost 10ppm 16 cs apply ag promo
1,private 2003 account statement 07753741225 shows 800 un redeemed points call 08715203677 identifier code 42478 expires 24 10 04
0,still grand prix
0,met stranger choose friend long world stands friendship never ends lets friends forever gud nitz
0,great
0,gud mrng dear nice day
1,important customer service announcement call freephone 0800 542 0825
0,exhausted train morning much wine pie sleep well
0,going buy mum present ar
0,mind blastin tsunamis occur rajnikant stopped swimming indian ocean
0,u sending home first ok lor ready yet
0,speaking cash yet
0,happy come noon
0,meet lunch la
0,take care n get well soon
1,xclusive clubsaisai 2morow 28 5 soiree speciale zouk nichols paris free roses 2 ladies info 07946746291 07880867867
0,meant say cant wait see u getting bored bridgwater banter
0,neva mind ok
0,fine imma get drink somethin want come find
1,22 days kick euro2004 u kept date latest news results daily removed send get txt stop 83222
0,valentine game send dis msg ur friends 5 answers r someone really loves u ques colour suits best rply
0,many dependents
0,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u soon c
0,called said choose future
